Single-Year Ages Code,Population
0,22262530
1,22502358
2,22839179
3,23304139
4,23656895
5,23936263
6,24131179
7,24295318
8,24349997
9,24369991
10,24530670
11,24813041
12,25143999
13,25454508
14,25662187
15,25717481
16,25571248
17,25568743
18,25712313
19,25818873
20,26016654
21,26247665
22,26271285
23,26255766
24,26350852
25,26591894
26,26974435
27,27445823
28,27873704
29,28020160
30,27947353
31,27744466
32,27509352
33,27258334
34,26881141
35,26691036
36,26541147
37,26439899
38,26414066
39,26117175
40,25818771
41,25315190
42,24797583
43,24446379
44,23981890
45,23728889
46,23671231
47,23943420
48,24397664
49,24596906
50,24798798
51,24828090
52,24811009
53,24788738
54,24921851
55,25189761
56,25449489
57,25770231
58,26069267
59,26083312
60,25908528
61,25566348
62,25125334
63,24648017
64,24057475
65,23367412
66,22515630
67,21665054
68,20904696
69,20139239
70,19412773
71,18900077
72,17671556
73,16546475
74,15542080
75,14582788
76,13352370
77,11837071
78,11050467
79,10237054
80,9405646
81,8430450
82,7670434
83,7009312
84,6334918
